bench,instance,metric,f_min
rbv2_super,15,acc,-0.99163336
rbv2_super,1053,acc,-0.95595545
rbv2_super,1479,acc,-0.99407244
nb301,CIFAR10,val_accuracy,-95.18977
rbv2_xgboost,40499,acc,-1.0
rbv2_xgboost,1501,acc,-0.9953265
rbv2_rpart,40499,acc,-0.88396084
rbv2_glmnet,375,acc,-0.960904
rbv2_super,1457,acc,-0.8330028
lcbench,189873,val_accuracy,-94.36072
lcbench,189906,val_accuracy,-93.53929
rbv2_super,1063,acc,-0.9562071
rbv2_xgboost,12,acc,-0.9999962
lcbench,167168,val_accuracy,-88.42214
rbv2_xgboost,16,acc,-0.99986076
rbv2_ranger,42,acc,-0.9931893
rbv2_ranger,16,acc,-0.9700738
rbv2_super,1468,acc,-0.9763377
rbv2_glmnet,458,acc,-0.9981497
rbv2_rpart,14,acc,-0.8013798
